0
0
         43821414 function calls (41928386 primitive calls) in 39.240 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   221215    0.076    0.000    0.076    0.000 {method 'get' of 'dict' objects}
   213710    0.074    0.000    0.074    0.000 {method 'items' of 'dict' objects}
    42089    0.070    0.000    0.570    0.000 fields.py:417(getfield)
    83955    0.065    0.000    0.065    0.000 {built-in method __new__ of type object at 0x909780}
    14028    0.065    0.000    0.432    0.000 dot11.py:485(guess_payload_class)
    14030    0.059    0.000    0.127    0.000 utils.py:968(read_packet)
    56116    0.057    0.000    0.083    0.000 fields.py:1452(reverse)
    27155    0.055    0.000    0.064    0.000 utils.py:413(str2mac)
    14028    0.053    0.000    0.254    0.000 dot11.py:423(<lambda>)
        1    0.051    0.051   38.748   38.748 sendrecv.py:763(_run)
    64886    0.048    0.000    0.071    0.000 fields.py:195(__getattr__)
    14029    0.048    0.000    0.282    0.000 dot11.py:261(<lambda>)
    68194    0.048    0.000    0.048    0.000 packet.py:413(__delattr__)
    68345    0.046    0.000    0.046    0.000 {built-in method time.time}
    14028    0.045    0.000    0.852    0.000 dot11.py:528(guess_payload_class)
    14029    0.043    0.000    0.252    0.000 dot11.py:270(<lambda>)
    14029    0.043    0.000    0.246    0.000 dot11.py:321(<lambda>)
    14029    0.043    0.000    0.252    0.000 dot11.py:282(<lambda>)
    14029    0.043    0.000    0.252    0.000 dot11.py:276(<lambda>)
    14028    0.042    0.000    0.242    0.000 dot11.py:417(<lambda>)
    14029    0.042    0.000    0.247    0.000 dot11.py:297(<lambda>)
    14029    0.042    0.000    0.248    0.000 dot11.py:288(<lambda>)
    54164    0.042    0.000    0.069    0.000 packet.py:304(add_underlayer)
    14029    0.042    0.000    0.246    0.000 dot11.py:327(<lambda>)
    14028    0.042    0.000    0.250    0.000 dot11.py:348(<lambda>)
    14029    0.042    0.000    0.245    0.000 dot11.py:309(<lambda>)
    14029    0.042    0.000    0.245    0.000 dot11.py:303(<lambda>)
    14029    0.042    0.000    0.247    0.000 dot11.py:291(<lambda>)
    14029    0.042    0.000    0.246    0.000 dot11.py:333(<lambda>)
    14028    0.042    0.000    0.243    0.000 dot11.py:402(<lambda>)
    14028    0.041    0.000    0.246    0.000 dot11.py:336(<lambda>)
    14028    0.041    0.000    0.242    0.000 dot11.py:455(<lambda>)
    14028    0.041    0.000    0.245    0.000 dot11.py:351(<lambda>)
    14028    0.041    0.000    0.242    0.000 dot11.py:405(<lambda>)
    14028    0.041    0.000    0.243    0.000 dot11.py:375(<lambda>)
    14028    0.041    0.000    0.245    0.000 dot11.py:345(<lambda>)
    14028    0.041    0.000    0.243    0.000 dot11.py:458(<lambda>)
    14028    0.041    0.000    0.242    0.000 dot11.py:339(<lambda>)
    14029    0.041    0.000    0.245    0.000 dot11.py:315(<lambda>)
    14028    0.041    0.000    0.245    0.000 dot11.py:372(<lambda>)
    14028    0.041    0.000    0.242    0.000 dot11.py:471(<lambda>)
    14028    0.041    0.000    0.244    0.000 dot11.py:411(<lambda>)
    14028    0.041    0.000    0.242    0.000 dot11.py:438(<lambda>)
    14028    0.041    0.000    0.244    0.000 dot11.py:384(<lambda>)
    14028    0.041    0.000    0.241    0.000 dot11.py:408(<lambda>)
