0
0
         130895601 function calls (125056421 primitive calls) in 115.683 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
153096/152392   13.212    0.000   91.678    0.001 packet.py:823(do_dissect)
 13613972    9.148    0.000   21.470    0.000 fields.py:243(__getattr__)
18612782/13687636    8.996    0.000   12.353    0.000 {built-in method builtins.getattr}
  4832297    8.110    0.000   16.037    0.000 fields.py:1992(i2h)
  5183894    6.469    0.000   29.385    0.000 packet.py:359(__getattr__)
153837/44853    4.903    0.000  111.906    0.002 packet.py:126(__init__)
  5183894    4.762    0.000    6.635    0.000 packet.py:349(getfield_and_val)
 13491818    4.358    0.000    4.358    0.000 {built-in method builtins.isinstance}
  2451394    4.096    0.000    6.118    0.000 fields.py:1913(__getattr__)
  7241150    3.703    0.000    3.760    0.000 packet.py:388(__setattr__)
  5067023    3.564    0.000    6.888    0.000 fields.py:1975(_fixup_val)
  4925257    3.357    0.000    4.904    0.000 fields.py:409(__getattr__)
  2481684    2.370    0.000   50.391    0.000 fields.py:231(getfield)
  2481684    2.278    0.000   44.036    0.000 fields.py:228(_evalcond)
   696971    2.261    0.000    5.825    0.000 fields.py:1482(getfield)
  5190139    1.876    0.000    1.876    0.000 packet.py:277(get_field)
  5183894    1.732    0.000    1.732    0.000 fields.py:110(i2h)
  1432227    1.384    0.000    1.539    0.000 fields.py:1929(__setattr__)
   477409    1.287    0.000    3.503    0.000 fields.py:1842(__init__)
3533683/3533180    1.185    0.000    1.185    0.000 {built-in method builtins.len}
  2372891    1.082    0.000    1.082    0.000 fields.py:1885(__nonzero__)
  2451396    1.077    0.000    1.077    0.000 {method 'index' of 'list' objects}
  3240130    1.032    0.000    1.032    0.000 {method 'pop' of 'dict' objects}
  2451401    0.944    0.000    0.944    0.000 fields.py:1850(__int__)
   502257    0.832    0.000    1.508    0.000 fields.py:142(getfield)
   694198    0.796    0.000    3.099    0.000 fields.py:154(do_copy)
    55135    0.795    0.000    2.882    0.000 packet.py:881(guess_payload_class)
307775/44853    0.717    0.000  112.034    0.002 base_classes.py:248(__call__)
  1344743    0.611    0.000    0.611    0.000 {built-in method _struct.unpack}
   979495    0.603    0.000    0.857    0.000 packet.py:892(<genexpr>)
   534487    0.600    0.000    0.979    0.000 six.py:590(iteritems)
153837/153778    0.590    0.000    0.997    0.000 packet.py:199(do_init_cached_fields)
123370/61685    0.515    0.000    0.981    0.000 packet.py:1105(getlayer)
153096/44774    0.459    0.000  102.940    0.002 packet.py:869(dissect)
   532451    0.427    0.000    1.155    0.000 {built-in method builtins.all}
  1179934    0.413    0.000    0.413    0.000 fields.py:114(m2i)
   493433    0.394    0.000    0.560    0.000 fields.py:1830(_fixvalue)
231926/87575    0.385    0.000    0.547    0.000 packet.py:1087(haslayer)
   234669    0.354    0.000    2.602    0.000 fields.py:1989(m2i)
   668692    0.334    0.000    0.339    0.000 packet.py:338(getfieldval)
153096/44776    0.311    0.000   19.421    0.000 packet.py:846(do_dissect_payload)
   108021    0.282    0.000    0.566    0.000 packet.py:281(add_payload)
    44775    0.276    0.000  112.828    0.003 utils.py:1037(read_packet)
709746/709734    0.251    0.000    0.255    0.000 {built-in method builtins.hasattr}
89778/89777    0.238    0.000    0.238    0.000 {method 'read' of '_io.BufferedReader' objects}
   234675    0.236    0.000    1.907    0.000 fields.py:1942(copy)
153837/153778    0.224    0.000    1.280    0.000 packet.py:176(init_fields)
   134323    0.218    0.000    1.822    0.000 fields.py:417(getfield)
153196/45176    0.205    0.000    0.274    0.000 packet.py:268(dissection_done)
    44771    0.204    0.000    1.384    0.000 dot11.py:485(guess_payload_class)
   534547    0.193    0.000    0.193    0.000 {built-in method builtins.iter}
    44775    0.187    0.000    0.482    0.000 utils.py:968(read_packet)
   535049    0.186    0.000    0.186    0.000 {method 'items' of 'dict' objects}
   179092    0.182    0.000    0.264    0.000 fields.py:1452(reverse)
    91310    0.173    0.000    0.203    0.000 utils.py:413(str2mac)
153939/153938    0.171    0.000    0.246    0.000 packet.py:1520(__new__)
   478087    0.166    0.000    0.166    0.000 {method 'get' of 'dict' objects}
    44774    0.154    0.000    2.082    0.000 ml2t-v01.py:45(<lambda>)
    44773    0.149    0.000    0.889    0.000 dot11.py:261(<lambda>)
    44773    0.137    0.000    0.807    0.000 dot11.py:270(<lambda>)
    44771    0.136    0.000    0.787    0.000 dot11.py:438(<lambda>)
    44773    0.136    0.000    0.806    0.000 dot11.py:282(<lambda>)
    44773    0.135    0.000    0.797    0.000 dot11.py:297(<lambda>)
    44773    0.135    0.000    0.802    0.000 dot11.py:276(<lambda>)
    44773    0.134    0.000    0.790    0.000 dot11.py:303(<lambda>)
    44771    0.134    0.000    0.785    0.000 dot11.py:339(<lambda>)
    44771    0.134    0.000    0.800    0.000 dot11.py:348(<lambda>)
    44773    0.134    0.000    0.793    0.000 dot11.py:288(<lambda>)
    44773    0.133    0.000    0.793    0.000 dot11.py:291(<lambda>)
    44773    0.133    0.000    0.792    0.000 dot11.py:327(<lambda>)
    44773    0.133    0.000    0.793    0.000 dot11.py:333(<lambda>)
    44771    0.133    0.000    0.790    0.000 dot11.py:336(<lambda>)
    44773    0.133    0.000    0.787    0.000 dot11.py:309(<lambda>)
    44771    0.132    0.000    0.790    0.000 dot11.py:351(<lambda>)
    44773    0.132    0.000    0.788    0.000 dot11.py:321(<lambda>)
    44771    0.132    0.000    0.785    0.000 dot11.py:345(<lambda>)
    44773    0.132    0.000    0.788    0.000 dot11.py:315(<lambda>)
    44771    0.132    0.000    0.777    0.000 dot11.py:455(<lambda>)
    44771    0.132    0.000    0.779    0.000 dot11.py:405(<lambda>)
    44771    0.131    0.000    0.782    0.000 dot11.py:375(<lambda>)
    44771    0.131    0.000    0.780    0.000 dot11.py:458(<lambda>)
    44771    0.131    0.000    0.778    0.000 dot11.py:402(<lambda>)
    44771    0.131    0.000    0.782    0.000 dot11.py:381(<lambda>)
    44771    0.131    0.000    0.783    0.000 dot11.py:372(<lambda>)
    44771    0.131    0.000    0.786    0.000 dot11.py:354(<lambda>)
    44771    0.131    0.000    0.780    0.000 dot11.py:441(<lambda>)
    44771    0.131    0.000    0.780    0.000 dot11.py:387(<lambda>)
    44771    0.131    0.000    0.780    0.000 dot11.py:471(<lambda>)
    44771    0.131    0.000    0.782    0.000 dot11.py:384(<lambda>)
    44771    0.131    0.000    0.780    0.000 dot11.py:366(<lambda>)
    44771    0.131    0.000    0.782    0.000 dot11.py:474(<lambda>)
    44771    0.131    0.000    0.775    0.000 dot11.py:445(<lambda>)
    44771    0.131    0.000    0.775    0.000 dot11.py:449(<lambda>)
