2275
5403
         131099773 function calls (125205994 primitive calls) in 116.212 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
153096/152392   13.213    0.000   91.868    0.001 packet.py:823(do_dissect)
 13629328    9.185    0.000   21.674    0.000 fields.py:243(__getattr__)
18628138/13702992    9.173    0.000   12.517    0.000 {built-in method builtins.getattr}
  4832297    8.078    0.000   16.032    0.000 fields.py:1992(i2h)
5203800/5193847    6.472    0.000   29.388    0.000 packet.py:359(__getattr__)
153837/44853    4.931    0.000  112.260    0.003 packet.py:126(__init__)
  5203800    4.774    0.000    6.638    0.000 packet.py:349(getfield_and_val)
 13491818    4.402    0.000    4.402    0.000 {built-in method builtins.isinstance}
  2451394    4.028    0.000    6.063    0.000 fields.py:1913(__getattr__)
  7241150    3.838    0.000    3.894    0.000 packet.py:388(__setattr__)
  5067023    3.569    0.000    6.892    0.000 fields.py:1975(_fixup_val)
  4925257    3.344    0.000    4.923    0.000 fields.py:409(__getattr__)
  2481684    2.376    0.000   50.289    0.000 fields.py:231(getfield)
  2481684    2.290    0.000   43.906    0.000 fields.py:228(_evalcond)
   696971    2.274    0.000    5.839    0.000 fields.py:1482(getfield)
  5200092    1.867    0.000    1.867    0.000 packet.py:277(get_field)
  5193847    1.721    0.000    1.721    0.000 fields.py:110(i2h)
  1432227    1.376    0.000    1.530    0.000 fields.py:1929(__setattr__)
   477409    1.282    0.000    3.488    0.000 fields.py:1842(__init__)
3533683/3533180    1.200    0.000    1.201    0.000 {built-in method builtins.len}
  2451396    1.098    0.000    1.098    0.000 {method 'index' of 'list' objects}
  2372891    1.093    0.000    1.093    0.000 fields.py:1885(__nonzero__)
  3240130    1.040    0.000    1.040    0.000 {method 'pop' of 'dict' objects}
  2451401    0.936    0.000    0.936    0.000 fields.py:1850(__int__)
   502257    0.836    0.000    1.519    0.000 fields.py:142(getfield)
    55135    0.808    0.000    2.902    0.000 packet.py:881(guess_payload_class)
   694198    0.791    0.000    3.093    0.000 fields.py:154(do_copy)
307775/44853    0.715    0.000  112.388    0.003 base_classes.py:248(__call__)
  1344743    0.625    0.000    0.625    0.000 {built-in method _struct.unpack}
153837/153778    0.610    0.000    1.029    0.000 packet.py:199(do_init_cached_fields)
   979495    0.603    0.000    0.851    0.000 packet.py:892(<genexpr>)
   534487    0.598    0.000    0.977    0.000 six.py:590(iteritems)
123370/61685    0.519    0.000    0.978    0.000 packet.py:1105(getlayer)
291928/102931    0.481    0.000    0.671    0.000 packet.py:1087(haslayer)
153096/44774    0.477    0.000  103.233    0.002 packet.py:869(dissect)
   532451    0.436    0.000    1.158    0.000 {built-in method builtins.all}
  1179934    0.409    0.000    0.409    0.000 fields.py:114(m2i)
   493433    0.390    0.000    0.554    0.000 fields.py:1830(_fixvalue)
   234669    0.359    0.000    2.595    0.000 fields.py:1989(m2i)
   689451    0.339    0.000    0.344    0.000 packet.py:338(getfieldval)
153096/44776    0.320    0.000   19.492    0.000 packet.py:846(do_dissect_payload)
    44775    0.281    0.000  113.194    0.003 utils.py:1037(read_packet)
   108021    0.279    0.000    0.569    0.000 packet.py:281(add_payload)
709746/709734    0.252    0.000    0.255    0.000 {built-in method builtins.hasattr}
   234675    0.235    0.000    1.904    0.000 fields.py:1942(copy)
