2275
5403
         131099775 function calls (125205996 primitive calls) in 169.733 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   534547    0.278    0.000    0.278    0.000 {built-in method builtins.iter}
    91310    0.275    0.000    0.321    0.000 utils.py:413(str2mac)
   535049    0.272    0.000    0.272    0.000 {method 'items' of 'dict' objects}
153939/153938    0.266    0.000    0.382    0.000 packet.py:1520(__new__)
   478087    0.255    0.000    0.255    0.000 {method 'get' of 'dict' objects}
    44774    0.244    0.000    3.173    0.000 ml2t-v01.py:45(<lambda>)
    44773    0.225    0.000    1.311    0.000 dot11.py:261(<lambda>)
        1    0.215    0.215  168.979  168.979 sendrecv.py:763(_run)
    44773    0.204    0.000    1.180    0.000 dot11.py:270(<lambda>)
    44773    0.204    0.000    1.163    0.000 dot11.py:297(<lambda>)
   200204    0.203    0.000    0.203    0.000 {built-in method __new__ of type object at 0x909780}
    44773    0.203    0.000    1.184    0.000 dot11.py:282(<lambda>)
    44771    0.202    0.000    1.140    0.000 dot11.py:345(<lambda>)
    44773    0.201    0.000    1.173    0.000 dot11.py:276(<lambda>)
    44773    0.201    0.000    1.142    0.000 dot11.py:321(<lambda>)
    44773    0.198    0.000    1.154    0.000 dot11.py:288(<lambda>)
    44773    0.197    0.000    1.142    0.000 dot11.py:309(<lambda>)
    44771    0.197    0.000    1.120    0.000 dot11.py:455(<lambda>)
    44773    0.197    0.000    1.154    0.000 dot11.py:303(<lambda>)
    44771    0.196    0.000    1.128    0.000 dot11.py:372(<lambda>)
    44773    0.195    0.000    1.142    0.000 dot11.py:327(<lambda>)
    44771    0.195    0.000    1.160    0.000 dot11.py:348(<lambda>)
    44773    0.195    0.000    1.143    0.000 dot11.py:333(<lambda>)
    44773    0.194    0.000    1.152    0.000 dot11.py:291(<lambda>)
    44771    0.194    0.000    1.113    0.000 dot11.py:411(<lambda>)
    44771    0.194    0.000    1.116    0.000 dot11.py:417(<lambda>)
    44771    0.194    0.000    1.113    0.000 dot11.py:445(<lambda>)
    44771    0.194    0.000    1.141    0.000 dot11.py:351(<lambda>)
    44771    0.193    0.000    1.121    0.000 dot11.py:458(<lambda>)
    44773    0.192    0.000    1.137    0.000 dot11.py:315(<lambda>)
    44771    0.192    0.000    1.137    0.000 dot11.py:336(<lambda>)
    44771    0.192    0.000    1.120    0.000 dot11.py:420(<lambda>)
    44771    0.192    0.000    1.114    0.000 dot11.py:405(<lambda>)
    44771    0.192    0.000    1.114    0.000 dot11.py:402(<lambda>)
    44771    0.192    0.000    1.108    0.000 dot11.py:465(<lambda>)
    44771    0.192    0.000    1.122    0.000 dot11.py:375(<lambda>)
    44771    0.192    0.000    1.116    0.000 dot11.py:426(<lambda>)
    44771    0.192    0.000    1.135    0.000 dot11.py:354(<lambda>)
    44771    0.192    0.000    1.113    0.000 dot11.py:396(<lambda>)
    44771    0.191    0.000    1.114    0.000 dot11.py:408(<lambda>)
    44771    0.191    0.000    1.122    0.000 dot11.py:441(<lambda>)
